date,value
2021-01-05 00:00:00+01:00,2034.0
2021-01-14 00:00:00+01:00,2120.0
2021-01-19 00:00:00+01:00,2125.0
2021-01-27 00:00:00+01:00,2137.0
2021-02-04 00:00:00+01:00,2137.0
2021-02-16 00:00:00+01:00,2147.0
2021-02-23 00:00:00+01:00,2150.0
2021-03-04 00:00:00+01:00,2156.0
2021-03-08 00:00:00+01:00,2156.0
2021-04-09 00:00:00+02:00,2167.0
2021-04-15 00:00:00+02:00,2188.0
2021-05-12 00:00:00+02:00,2111.0
2021-05-20 00:00:00+02:00,2114.0
2021-05-25 00:00:00+02:00,2114.0
2021-06-03 00:00:00+02:00,2115.0
2021-06-11 00:00:00+02:00,1840.0
2021-06-18 00:00:00+02:00,1877.0
2021-06-24 00:00:00+02:00,1893.0
2021-06-30 00:00:00+02:00,1893.0
2021-07-09 00:00:00+02:00,1778.0
2021-07-15 00:00:00+02:00,1781.0
2021-08-17 00:00:00+02:00,1942.0
2021-09-06 00:00:00+02:00,1942.0
2021-10-01 00:00:00+02:00,2016.0
2021-10-06 00:00:00+02:00,2081.0
2021-10-15 00:00:00+02:00,2172.0
2021-10-23 00:00:00+02:00,2204.0
2021-10-29 00:00:00+02:00,2257.0
2021-11-05 00:00:00+01:00,2330.0
2021-11-11 00:00:00+01:00,2350.0
2021-11-18 00:00:00+01:00,2350.0
2021-11-25 00:00:00+01:00,2376.0
2021-12-03 00:00:00+01:00,2388.0
2021-12-13 00:00:00+01:00,2390.0
2021-12-28 00:00:00+01:00,2397.0
2021-12-30 00:00:00+01:00,2397.0
2022-01-04 00:00:00+01:00,2402.0
