date,value
2021-01-05 00:00:00+01:00,1054.0
2021-01-14 00:00:00+01:00,1084.0
2021-01-19 00:00:00+01:00,1085.0
2021-01-27 00:00:00+01:00,1091.0
2021-02-04 00:00:00+01:00,1091.0
2021-02-16 00:00:00+01:00,1096.0
2021-02-23 00:00:00+01:00,1098.0
2021-03-04 00:00:00+01:00,1099.0
2021-03-08 00:00:00+01:00,1099.0
2021-04-09 00:00:00+02:00,1108.0
2021-04-15 00:00:00+02:00,1121.0
2021-05-12 00:00:00+02:00,1110.0
2021-05-20 00:00:00+02:00,1110.0
2021-05-25 00:00:00+02:00,1110.0
2021-06-03 00:00:00+02:00,1110.0
2021-06-11 00:00:00+02:00,977.0
2021-06-18 00:00:00+02:00,988.0
2021-06-24 00:00:00+02:00,996.0
2021-06-30 00:00:00+02:00,996.0
2021-07-09 00:00:00+02:00,974.0
2021-07-15 00:00:00+02:00,976.0
2021-08-17 00:00:00+02:00,1058.0
2021-09-06 00:00:00+02:00,1058.0
2021-10-01 00:00:00+02:00,1078.0
2021-10-06 00:00:00+02:00,1103.0
2021-10-15 00:00:00+02:00,1152.0
2021-10-23 00:00:00+02:00,1190.0
2021-10-29 00:00:00+02:00,1210.0
2021-11-05 00:00:00+01:00,1239.0
2021-11-11 00:00:00+01:00,1248.0
2021-11-18 00:00:00+01:00,1248.0
2021-11-25 00:00:00+01:00,1258.0
2021-12-03 00:00:00+01:00,1269.0
2021-12-13 00:00:00+01:00,1270.0
2021-12-28 00:00:00+01:00,1271.0
2021-12-30 00:00:00+01:00,1271.0
2022-01-04 00:00:00+01:00,1274.0
