date,value
2021-01-05 00:00:00+01:00,8.9
2021-01-14 00:00:00+01:00,8.7
2021-01-19 00:00:00+01:00,8.7
2021-01-27 00:00:00+01:00,8.9
2021-02-04 00:00:00+01:00,8.9
2021-02-16 00:00:00+01:00,8.9
2021-02-23 00:00:00+01:00,8.9
2021-03-04 00:00:00+01:00,8.9
2021-03-08 00:00:00+01:00,8.9
2021-04-09 00:00:00+02:00,8.7
2021-04-15 00:00:00+02:00,8.6
2021-05-12 00:00:00+02:00,8.8
2021-05-20 00:00:00+02:00,8.8
2021-05-25 00:00:00+02:00,8.8
2021-06-03 00:00:00+02:00,8.7
2021-06-11 00:00:00+02:00,4.2
2021-06-18 00:00:00+02:00,4.2
2021-06-24 00:00:00+02:00,4.3
2021-06-30 00:00:00+02:00,4.3
2021-07-09 00:00:00+02:00,4.5
2021-07-15 00:00:00+02:00,4.5
2021-08-17 00:00:00+02:00,4.7
2021-09-06 00:00:00+02:00,4.6
2021-10-01 00:00:00+02:00,4.6
2021-10-06 00:00:00+02:00,5.0
2021-10-15 00:00:00+02:00,5.1
2021-10-23 00:00:00+02:00,5.4
2021-10-29 00:00:00+02:00,5.4
2021-11-05 00:00:00+01:00,5.4
2021-11-11 00:00:00+01:00,5.3
2021-11-18 00:00:00+01:00,5.3
2021-11-25 00:00:00+01:00,5.3
2021-12-03 00:00:00+01:00,5.5
2021-12-13 00:00:00+01:00,5.5
2021-12-28 00:00:00+01:00,5.5
2021-12-30 00:00:00+01:00,5.5
2022-01-04 00:00:00+01:00,5.5
