date,value
2021-01-05 00:00:00+01:00,193.0
2021-01-14 00:00:00+01:00,198.0
2021-01-19 00:00:00+01:00,199.0
2021-01-27 00:00:00+01:00,199.0
2021-02-04 00:00:00+01:00,199.0
2021-02-16 00:00:00+01:00,201.0
2021-02-23 00:00:00+01:00,202.0
2021-03-04 00:00:00+01:00,205.0
2021-03-08 00:00:00+01:00,206.0
2021-04-09 00:00:00+02:00,203.0
2021-04-15 00:00:00+02:00,200.0
2021-05-12 00:00:00+02:00,189.0
2021-05-20 00:00:00+02:00,189.0
2021-05-25 00:00:00+02:00,189.0
2021-06-03 00:00:00+02:00,189.0
2021-06-11 00:00:00+02:00,141.0
2021-06-18 00:00:00+02:00,144.0
2021-06-24 00:00:00+02:00,143.0
2021-06-30 00:00:00+02:00,143.0
2021-07-09 00:00:00+02:00,126.0
2021-07-15 00:00:00+02:00,116.0
2021-08-17 00:00:00+02:00,106.0
2021-09-06 00:00:00+02:00,106.0
2021-10-01 00:00:00+02:00,107.0
2021-10-06 00:00:00+02:00,119.0
2021-10-15 00:00:00+02:00,119.0
2021-10-23 00:00:00+02:00,114.0
2021-10-29 00:00:00+02:00,117.0
2021-11-05 00:00:00+01:00,121.0
2021-11-11 00:00:00+01:00,122.0
2021-11-18 00:00:00+01:00,122.0
2021-11-25 00:00:00+01:00,126.0
2021-12-03 00:00:00+01:00,129.0
2021-12-13 00:00:00+01:00,129.0
2021-12-28 00:00:00+01:00,129.0
2021-12-30 00:00:00+01:00,129.0
2022-01-04 00:00:00+01:00,129.0
