date,value
2021-01-15 00:00:00+01:00,6210.0
2021-02-24 00:00:00+01:00,6225.0
2021-03-16 00:00:00+01:00,6268.0
2021-05-25 00:00:00+02:00,6268.0
2021-06-23 00:00:00+02:00,6450.0
2021-07-13 00:00:00+02:00,6446.0
2021-08-09 00:00:00+02:00,6445.0
2021-09-16 00:00:00+02:00,6464.0
2021-09-21 00:00:00+02:00,6465.0
2021-10-20 00:00:00+02:00,6491.0
2021-10-29 00:00:00+02:00,6574.0
2021-11-05 00:00:00+01:00,6977.0
2021-11-12 00:00:00+01:00,7418.0
2021-11-17 00:00:00+01:00,7429.0
2021-11-25 00:00:00+01:00,7455.0
2021-12-17 00:00:00+01:00,7549.0
2021-12-28 00:00:00+01:00,7549.0
